group,match_no,home_code,away_code,kickoff_iso,venue
A,1,MEX,RSA,2026-06-11T19:00:00+00:00,"Estadio Azteca, Mexico City"
A,2,KOR,CZE,2026-06-12T02:00:00+00:00,"Estadio Akron, Zapopan"
A,3,CZE,RSA,2026-06-18T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta"
A,4,MEX,KOR,2026-06-19T01:00:00+00:00,"Estadio Akron, Zapopan"
A,5,CZE,MEX,2026-06-25T01:00:00+00:00,"Estadio Azteca, Mexico City"
A,6,RSA,KOR,2026-06-25T01:00:00+00:00,"Estadio BBVA, Guadalupe"
B,1,CAN,BIH,2026-06-12T19:00:00+00:00,"BMO Field, Toronto"
B,2,QAT,SUI,2026-06-13T19:00:00+00:00,"Levi's Stadium, Santa Clara"
B,3,SUI,BIH,2026-06-18T19:00:00+00:00,"SoFi Stadium, Inglewood"
B,4,CAN,QAT,2026-06-18T22:00:00+00:00,"BC Place, Vancouver"
B,5,SUI,CAN,2026-06-24T19:00:00+00:00,"BC Place, Vancouver"
B,6,BIH,QAT,2026-06-24T19:00:00+00:00,"Lumen Field, Seattle"
C,1,BRA,MAR,2026-06-13T22:00:00+00:00,"MetLife Stadium, East Rutherford"
C,2,HAI,SCO,2026-06-14T01:00:00+00:00,"Gillette Stadium, Foxborough"
C,3,SCO,MAR,2026-06-19T22:00:00+00:00,"Gillette Stadium, Foxborough"
C,4,BRA,HAI,2026-06-20T00:30:00+00:00,"Lincoln Financial Field, Philadelphia"
C,5,SCO,BRA,2026-06-24T22:00:00+00:00,"Hard Rock Stadium, Miami Gardens"
C,6,MAR,HAI,2026-06-24T22:00:00+00:00,"Mercedes-Benz Stadium, Atlanta"
D,1,USA,PAR,2026-06-13T01:00:00+00:00,"SoFi Stadium, Inglewood"
D,2,AUS,TUR,2026-06-14T04:00:00+00:00,"BC Place, Vancouver"
D,3,USA,AUS,2026-06-19T19:00:00+00:00,"Lumen Field, Seattle"
D,4,TUR,PAR,2026-06-20T03:00:00+00:00,"Levi's Stadium, Santa Clara"
D,5,TUR,USA,2026-06-26T02:00:00+00:00,"SoFi Stadium, Inglewood"
D,6,PAR,AUS,2026-06-26T02:00:00+00:00,"Levi's Stadium, Santa Clara"
E,1,GER,CUW,2026-06-14T17:00:00+00:00,"NRG Stadium, Houston"
E,2,CIV,ECU,2026-06-14T23:00:00+00:00,"Lincoln Financial Field, Philadelphia"
E,3,GER,CIV,2026-06-20T20:00:00+00:00,"BMO Field, Toronto"
E,4,ECU,CUW,2026-06-21T00:00:00+00:00,"Arrowhead Stadium, Kansas City"
E,5,CUW,CIV,2026-06-25T20:00:00+00:00,"Lincoln Financial Field, Philadelphia"
E,6,ECU,GER,2026-06-25T20:00:00+00:00,"MetLife Stadium, East Rutherford"
F,1,NED,JPN,2026-06-14T20:00:00+00:00,"AT&T Stadium, Arlington"
F,2,SWE,TUN,2026-06-15T02:00:00+00:00,"Estadio BBVA, Guadalupe"
F,3,NED,SWE,2026-06-20T17:00:00+00:00,"NRG Stadium, Houston"
F,4,TUN,JPN,2026-06-21T04:00:00+00:00,"Estadio BBVA, Guadalupe"
F,5,JPN,SWE,2026-06-25T23:00:00+00:00,"AT&T Stadium, Arlington"
F,6,TUN,NED,2026-06-25T23:00:00+00:00,"Arrowhead Stadium, Kansas City"
G,1,BEL,EGY,2026-06-15T19:00:00+00:00,"Lumen Field, Seattle"
G,2,IRN,NZL,2026-06-16T01:00:00+00:00,"SoFi Stadium, Inglewood"
G,3,BEL,IRN,2026-06-21T19:00:00+00:00,"SoFi Stadium, Inglewood"
G,4,NZL,EGY,2026-06-22T01:00:00+00:00,"BC Place, Vancouver"
G,5,EGY,IRN,2026-06-27T03:00:00+00:00,"Lumen Field, Seattle"
G,6,NZL,BEL,2026-06-27T03:00:00+00:00,"BC Place, Vancouver"
H,1,ESP,CPV,2026-06-15T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta"
H,2,KSA,URU,2026-06-15T22:00:00+00:00,"Hard Rock Stadium, Miami Gardens"
H,3,ESP,KSA,2026-06-21T16:00:00+00:00,"Mercedes-Benz Stadium, Atlanta"
H,4,URU,CPV,2026-06-21T22:00:00+00:00,"Hard Rock Stadium, Miami Gardens"
H,5,CPV,KSA,2026-06-27T00:00:00+00:00,"NRG Stadium, Houston"
H,6,URU,ESP,2026-06-27T00:00:00+00:00,"Estadio Akron, Zapopan"
I,1,FRA,SEN,2026-06-16T19:00:00+00:00,"MetLife Stadium, East Rutherford"
I,2,IRQ,NOR,2026-06-16T22:00:00+00:00,"Gillette Stadium, Foxborough"
I,3,FRA,IRQ,2026-06-22T21:00:00+00:00,"Lincoln Financial Field, Philadelphia"
I,4,NOR,SEN,2026-06-23T00:00:00+00:00,"MetLife Stadium, East Rutherford"
I,5,NOR,FRA,2026-06-26T19:00:00+00:00,"Gillette Stadium, Foxborough"
I,6,SEN,IRQ,2026-06-26T19:00:00+00:00,"BMO Field, Toronto"
J,1,ARG,ALG,2026-06-17T01:00:00+00:00,"Arrowhead Stadium, Kansas City"
J,2,AUT,JOR,2026-06-17T04:00:00+00:00,"Levi's Stadium, Santa Clara"
J,3,ARG,AUT,2026-06-22T17:00:00+00:00,"AT&T Stadium, Arlington"
J,4,JOR,ALG,2026-06-23T03:00:00+00:00,"Levi's Stadium, Santa Clara"
J,5,ALG,AUT,2026-06-28T02:00:00+00:00,"Arrowhead Stadium, Kansas City"
J,6,JOR,ARG,2026-06-28T02:00:00+00:00,"AT&T Stadium, Arlington"
K,1,POR,COD,2026-06-17T17:00:00+00:00,"NRG Stadium, Houston"
K,2,UZB,COL,2026-06-18T02:00:00+00:00,"Estadio Azteca, Mexico City"
K,3,POR,UZB,2026-06-23T17:00:00+00:00,"NRG Stadium, Houston"
K,4,COL,COD,2026-06-24T02:00:00+00:00,"Estadio Akron, Zapopan"
K,5,COL,POR,2026-06-27T23:30:00+00:00,"Hard Rock Stadium, Miami Gardens"
K,6,COD,UZB,2026-06-27T23:30:00+00:00,"Mercedes-Benz Stadium, Atlanta"
L,1,ENG,CRO,2026-06-17T20:00:00+00:00,"AT&T Stadium, Arlington"
L,2,GHA,PAN,2026-06-17T23:00:00+00:00,"BMO Field, Toronto"
L,3,ENG,GHA,2026-06-23T20:00:00+00:00,"Gillette Stadium, Foxborough"
L,4,PAN,CRO,2026-06-23T23:00:00+00:00,"BMO Field, Toronto"
L,5,PAN,ENG,2026-06-27T21:00:00+00:00,"MetLife Stadium, East Rutherford"
L,6,CRO,GHA,2026-06-27T21:00:00+00:00,"Lincoln Financial Field, Philadelphia"
